N,t,S,SH,Epi,D
700,0.8,95.0,18.349057930647231,35.491653266331653,17.14259533568443
700,0.9,94.900000000000006,18.329743132825495,36.470603015075376,18.140859882249881
700,1,70.0,13.520358475213749,37.361658291457289,23.841299816243541
800,0.1,95.0,18.349057930647231,25.370256281407034,7.0211983507598053
800,0.5,95.0,18.349057930647231,32.361997487437186,14.012939556789956
800,0.8,95.0,18.349057930647231,35.818266331658293,17.469208401011066
800,0.9,94.849999999999994,18.320085733914631,36.557947236180908,18.237861502266277
800,1,70.0,13.520358475213749,37.365969849246234,23.845611374032483
900,0.1,95.0,18.349057930647231,25.461723618090453,7.1126656874432239
900,0.5,95.0,18.349057930647231,32.269105527638189,13.920047596990964
900,0.8,95.0,18.349057930647231,35.796859296482417,17.447801365835179
900,0.9,94.900000000000006,18.329743132825499,36.641505025125625,18.311761892300133
900,1,70.0,13.520358475213749,37.418947236180905,23.898588760967158
1000,0.1,95.0,18.349057930647231,25.192085427135684,6.8430274964884514
1000,0.5,95.0,18.349057930647231,32.383226130653263,14.034168200006039
1000,0.8,95.0,18.349057930647231,35.893731155778895,17.544673225131667
1000,0.9,94.900000000000006,18.329743132825499,36.579087939698496,18.249344806873005
1000,1,70.0,13.520358475213749,37.394907035175876,23.874548559962129
1100,0.1,95.0,18.349057930647231,25.765701005025125,7.4166430743778973
1100,0.5,95.0,18.349057930647231,32.378839195979907,14.029781265332669
1100,0.8,95.0,18.349057930647231,35.965751256281401,17.616693325634181
1100,0.9,94.900000000000006,18.329743132825499,36.789608040201003,18.459864907375511
1100,1,70.0,13.520358475213749,37.437997487437194,23.917639012223436
1200,0.1,95.0,18.349057930647231,25.419834170854276,7.070776240207044
1200,0.5,95.0,18.349057930647231,32.459778894472365,14.110720963825134
1200,0.8,95.0,18.349057930647231,35.844557788944726,17.495499858297496
1200,0.9,95.0,18.349057930647231,36.586203517587947,18.237145586940716
1200,1,70.0,13.520358475213749,37.384118090452262,23.863759615238511
1300,0.1,95.0,18.349057930647231,25.755816582914576,7.406758652267345
1300,0.5,95.0,18.349057930647231,32.245989949748733,13.896932019101518
1300,0.8,95.0,18.349057930647231,35.385213567839195,17.036155637191968
1300,0.9,94.849999999999994,18.320085733914631,36.715570351758785,18.395484617844168
1300,1,70.0,13.520358475213749,37.503253768844203,23.98289529363047
1400,0.1,95.0,18.349057930647231,25.671947236180905,7.3228893055336766
1400,0.5,95.0,18.349057930647231,32.231183417085433,13.882125486438198
1400,0.8,95.0,18.349057930647231,35.813798994974867,17.464741064327647
1400,0.9,95.0,18.349057930647231,36.722562814070358,18.373504883423124
1400,1,70.0,13.520358475213749,37.432399497487431,23.912041022273691
1500,0.1,95.0,18.349057930647231,25.525605527638191,7.1765475969909645
1500,0.5,95.0,18.349057930647231,32.284452261306534,13.935394330659303
1500,0.8,95.0,18.349057930647231,35.748035175879394,17.398977245232171
1500,0.9,94.75,18.300770936092896,36.770610552763813,18.469839616670928
1500,1,70.0,13.520358475213749,37.284429648241201,23.764071173027453
1600,0.1,95.0,18.349057930647231,25.604557788944724,7.255499858297493
1600,0.5,95.0,18.349057930647231,32.346859296482407,13.997801365835182
1600,0.8,95.0,18.349057930647231,35.722999999999999,17.373942069352768
1600,0.9,95.0,18.349057930647231,36.496329145728652,18.147271215081414
1600,1,70.0,13.520358475213749,37.219412060301508,23.699053585087761
1700,0.1,95.0,18.349057930647231,25.519010050251254,7.1699521196040292
1700,0.5,95.0,18.349057930647231,32.093163316582903,13.744105385935688
1700,0.8,95.0,18.349057930647231,35.824874371859295,17.475816441212068
1700,0.9,95.0,18.349057930647231,36.494884422110552,18.145826491463325
1700,1,70.0,13.520358475213749,37.328296482412057,23.80793800719831
1800,0.1,95.0,18.349057930647231,25.635620603015077,7.2865626723678476
1800,0.5,95.0,18.349057930647231,32.16178643216081,13.812728501513575
1800,0.8,95.0,18.349057930647231,35.932854271356781,17.583796340709558
1800,0.9,94.849999999999994,18.320085733914631,36.618670854271357,18.29858512035673
1800,1,70.0,13.520358475213749,37.379876884422103,23.859518409208359
1900,0.1,95.0,18.349057930647231,25.735097989949747,7.3860400593025206
